Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCases,TotalCasesPM,DeathsPM,TotalTests,TestsPM,Population
USA,"16,191,184","142,256","301,760","1,935","9,389,300","6,500,124","27,357","48,788",909,"216,479,383","652,311","331,865,090"
India,"9,826,031","29,039","142,618",396,"9,321,249","362,164","8,944","7,089",103,"151,632,223","109,402","1,386,012,075"
Brazil,"6,794,910","11,367","179,897",96,"5,931,777","683,236","8,318","31,867",844,"25,700,000","120,527","213,230,064"
Russia,"2,597,711","28,585","45,893",613,"2,059,840","491,978","2,300","17,797",314,"81,564,365","558,804","145,962,393"
France,"2,351,372","13,406","57,567",412,"175,891","2,117,914","2,884","35,988",881,"28,508,991","436,332","65,337,886"
UK,"1,809,455","21,672","63,506",424,N/A,N/A,"1,267","26,592",933,"47,141,344","692,801","68,044,545"
Italy,"1,805,873","18,727","63,387",761,"1,052,163","690,323","3,265","29,888","1,049","23,866,590","394,998","60,422,081"
Turkey,"1,780,673","32,106","15,977",226,"1,154,333","610,363","5,952","21,013",189,"20,709,452","244,386","84,740,585"
Spain,"1,741,439","7,053","47,624",280,N/A,N/A,"2,100","37,240","1,018","24,101,272","515,393","46,762,862"
Argentina,"1,482,216",0,"40,431",0,"1,318,187","123,598","3,665","32,663",891,"4,173,392","91,966","45,379,520"
Colombia,"1,399,911",0,"38,484",0,"1,296,420","65,007","2,376","27,383",753,"6,915,466","135,271","51,122,861"
Germany,"1,296,298","25,866","21,773",540,"942,100","332,425","4,432","15,450",260,"30,494,036","363,443","83,903,248"
Mexico,"1,217,126","11,897","112,326",671,"896,130","208,670","3,515","9,396",867,"3,118,237","24,073","129,532,213"
Poland,"1,115,201","13,110","22,174",544,"815,356","277,671","1,766","29,481",586,"6,620,376","175,012","37,828,086"
Iran,"1,092,407","9,384","51,727",232,"787,853","252,827","5,768","12,933",612,"6,611,783","78,276","84,467,718"
Peru,"979,111",0,"36,499",0,"914,600","28,012","1,019","29,514","1,100","5,217,086","157,262","33,174,480"
Ukraine,"872,228","13,514","14,755",285,"480,348","377,125",177,"19,998",338,"4,957,299","113,658","43,615,882"
South Africa,"845,083","8,319","22,952",205,"758,373","63,758",546,"14,170",385,"5,779,544","96,909","59,638,974"
Indonesia,"605,243","6,310","18,511",175,"496,886","89,846",0,"2,202",67,"6,271,943","22,823","274,803,482"
Belgium,"600,397","2,754","17,692",89,"40,789","541,916",657,"51,705","1,524","6,231,437","536,635","11,612,063"
Netherlands,"594,523","8,838","9,966",64,N/A,N/A,486,"34,662",581,"5,077,285","296,021","17,151,770"
Iraq,"572,600","1,347","12,549",23,"503,897","56,154",197,"14,097",309,"3,837,024","94,467","40,617,505"
Czechia,"569,205","5,864","9,341",57,"497,828","62,036",550,"53,108",872,"3,294,949","307,427","10,717,838"
Chile,"567,974","1,534","15,782",8,"541,345","10,847",663,"29,599",822,"5,686,946","296,366","19,188,940"
Romania,"545,567","6,460","13,116",168,"443,168","89,283","1,299","28,444",684,"4,386,813","228,717","19,180,085"
Bangladesh,"487,849","1,884","6,986",19,"414,318","66,545",0,"2,949",42,"2,944,252","17,799","165,415,819"
Philippines,"447,039","1,504","8,709",8,"409,329","29,001","1,401","4,056",79,"6,154,475","55,836","110,224,876"
Canada,"446,361","4,292","13,222",113,"359,921","73,218",530,"11,781",349,"12,317,829","325,105","37,888,820"
Pakistan,"432,327","3,047","8,653",50,"379,092","44,582","2,538","1,941",39,"5,948,742","26,703","222,774,877"
Morocco,"394,564","3,035","6,542",50,"349,821","38,201",982,"10,634",176,"4,161,069","112,146","37,103,931"
