Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCases,TotalCasesPM,DeathsPM,TotalTests,TestsPM,Population
USA,16191184,142256,301760,1935,9389300,6500124,27357,48788,909,216479383,652311,331865090
India,9826031,29039,142618,396,9321249,362164,8944,7089,103,151632223,109402,1386012075
Brazil,6794910,11367,179897,96,5931777,683236,8318,31867,844,25700000,120527,213230064
Russia,2597711,28585,45893,613,2059840,491978,2300,17797,314,81564365,558804,145962393
France,2351372,13406,57567,412,175891,2117914,2884,35988,881,28508991,436332,65337886
UK,1809455,21672,63506,424,0,0,1267,26592,933,47141344,692801,68044545
Italy,1805873,18727,63387,761,1052163,690323,3265,29888,1049,23866590,394998,60422081
Turkey,1780673,32106,15977,226,1154333,610363,5952,21013,189,20709452,244386,84740585
Spain,1741439,7053,47624,280,0,0,2100,37240,1018,24101272,515393,46762862
Argentina,1482216,0,40431,0,1318187,123598,3665,32663,891,4173392,91966,45379520
Colombia,1399911,0,38484,0,1296420,65007,2376,27383,753,6915466,135271,51122861
Germany,1296298,25866,21773,540,942100,332425,4432,15450,260,30494036,363443,83903248
Mexico,1217126,11897,112326,671,896130,208670,3515,9396,867,3118237,24073,129532213
Poland,1115201,13110,22174,544,815356,277671,1766,29481,586,6620376,175012,37828086
Iran,1092407,9384,51727,232,787853,252827,5768,12933,612,6611783,78276,84467718
Peru,979111,0,36499,0,914600,28012,1019,29514,1100,5217086,157262,33174480
Ukraine,872228,13514,14755,285,480348,377125,177,19998,338,4957299,113658,43615882
South Africa,845083,8319,22952,205,758373,63758,546,14170,385,5779544,96909,59638974
Indonesia,605243,6310,18511,175,496886,89846,0,2202,67,6271943,22823,274803482
Belgium,600397,2754,17692,89,40789,541916,657,51705,1524,6231437,536635,11612063
Netherlands,594523,8838,9966,64,0,0,486,34662,581,5077285,296021,17151770
Iraq,572600,1347,12549,23,503897,56154,197,14097,309,3837024,94467,40617505
Czechia,569205,5864,9341,57,497828,62036,550,53108,872,3294949,307427,10717838
Chile,567974,1534,15782,8,541345,10847,663,29599,822,5686946,296366,19188940
Romania,545567,6460,13116,168,443168,89283,1299,28444,684,4386813,228717,19180085
Bangladesh,487849,1884,6986,19,414318,66545,0,2949,42,2944252,17799,165415819
Philippines,447039,1504,8709,8,409329,29001,1401,4056,79,6154475,55836,110224876
Canada,446361,4292,13222,113,359921,73218,530,11781,349,12317829,325105,37888820
Pakistan,432327,3047,8653,50,379092,44582,2538,1941,39,5948742,26703,222774877
Morocco,394564,3035,6542,50,349821,38201,982,10634,176,4161069,112146,37103931
Switzerland,373831,5136,5888,64,288400,79543,451,43055,678,3019837,347799,8682709
Saudi Arabia,359583,168,6023,11,350108,3452,526,10258,172,10316632,294318,35052696
Israel,353269,872,2969,8,333900,16400,322,38409,323,5605071,609406,9197590
Portugal,340287,5080,5373,95,263648,71266,507,33416,528,4899189,481095,10183403
Sweden,320098,0,7514,18,0,0,252,31608,742,3718476,367176,10127237
Austria,316581,2893,4289,126,273503,38789,572,35062,475,3355391,371614,9029235
Hungary,271200,6197,6622,171,78700,185878,610,28105,686,2245483,232708,9649376
Serbia,255758,6534,2227,55,31536,221995,319,29325,255,2000098,229327,8721606
Jordan,255459,2338,3286,36,209746,42427,366,24928,321,2797026,272934,10247981
Nepal,246694,1044,1674,11,232872,12148,0,8400,57,1820618,61995,29367131
Ecuador,200765,386,13858,8,174188,12719,337,11304,780,684488,38539,17761108
Panama,185424,0,3287,0,157888,24249,173,42678,757,1020898,234976,4344682
Georgia,183099,4146,1694,37,150461,30944,0,45938,425,1667615,418395,3985743
UAE,182601,1196,607,5,162435,19559,0,18364,61,18118955,1822244,9943209
